id,icao_code,name,latitude,longitude
3,AGGH,Honiara International Airport,-9.428,160.054993
4,AGGM,Munda Airport,-8.32797,157.263
8,ANYN,Nauru International Airport,-0.547458,166.919006
336951,AQBC,Boulder Clay Runway,-74.739373,164.03539
336953,AT03,Concordia Skyway,-75.103278,123.35825
336959,AT28,Vostok Skiway,-78.466139,106.84825
35179,AYBA,Baimuru Airport,-7.496955,144.821756
53,AYBK,Buka Airport,-5.422299,154.672698
35180,AYBM,Balimo Airport,-8.050000191,142.9329987
54,AYCH,Chimbu Airport,-6.024290085,144.970993
55,AYDU,Daru Airport,-9.08676,143.207993
56,AYGA,Goroka Airport,-6.081689835,145.3919983
57,AYGN,Gurney Airport,-10.3114996,150.3339996
58,AYGR,Girua Airport,-8.80453968,148.3090057
59,AYHK,Hoskins Airport,-5.463846,150.407327
60,AYKM,Kerema Airport,-7.963610172,145.7709961
61,AYKV,Kavieng Airport,-2.579400063,150.8079987
62,AYMD,Madang Airport,-5.207079887,145.7890015
63,AYMH,Mount Hagen Kagamuga Airport,-5.828212,144.299412
64,AYMN,Mendi Airport,-6.14774,143.656998
65,AYMO,Momote Airport,-2.06189,147.423996
66,AYNZ,Nadzab Airport,-6.569803,146.725977
67,AYPY,Port Moresby Jacksons International Airport,-9.443380356,147.2200012
68,AYTK,Tokua Airport,-4.34046,152.380005
69,AYVN,Vanimo Airport,-2.6926,141.3028
70,AYWD,Wapenamanda Airport,-5.635293,143.892231
71,AYWK,Wewak International Airport,-3.583830118,143.6690063
31697,BGAA,Aasiaat Airport,68.721802,-52.784698
113,BGBW,Narsarsuaq Airport,61.1605,-45.425999
114,BGGH,Nuuk Airport,64.191066,-51.67914
31694,BGJN,Ilulissat Airport,69.243202,-51.057098
31786,BGKK,Kulusuk Airport,65.573601,-37.1236
115,BGSF,Kangerlussuaq Airport,67.010446,-50.715294
31700,BGSS,Sisimiut Airport,66.951302,-53.729301
116,BGTL,Pituffik Space Base,76.531197,-68.703201
117,BIAR,Akureyri Airport,65.656573,-18.072018
119,BIEG,Egilsstaðir Airport,65.28330231,-14.40139961
